iter	Passed	Remaining
0	143	143545
1	145	72424
2	147	48855
3	148	37009
4	150	29939
5	151	25144
6	153	21715
7	154	19168
8	155	17176
9	157	15586
10	158	14279
11	162	13367
12	163	12437
13	165	11638
14	166	10963
15	168	10350
16	170	9834
17	171	9381
18	173	8971
19	175	8595
20	176	8244
21	178	7921
22	179	7632
23	181	7370
24	182	7126
25	184	6908
26	185	6702
27	187	6505
28	188	6317
29	189	6140
30	191	5982
31	192	5832
32	194	5690
33	195	5556
34	196	5427
35	198	5304
36	199	5191
37	200	5086
38	202	4984
39	203	4885
40	205	4801
41	206	4715
42	208	4633
43	209	4555
44	211	4488
45	213	4417
46	214	4346
47	215	4278
48	217	4221
49	219	4161
50	220	4103
51	221	4046
52	223	3993
53	224	3937
54	226	3885
55	227	3837
56	229	3791
57	230	3745
58	232	3701
59	233	3657
60	234	3614
61	237	3589
62	238	3554
63	240	3514
64	241	3477
65	243	3445
66	244	3408
67	246	3373
68	247	3340
69	249	3314
70	251	3284
71	252	3253
72	254	3227
73	255	3201
74	257	3174
75	258	3146
76	260	3118
77	261	3092
78	263	3068
79	264	3043
80	266	3019
81	267	2994
82	268	2964
83	269	2942
84	271	2919
85	272	2897
86	274	2876
87	275	2857
88	277	2839
89	278	2819
90	280	2800
91	281	2783
92	283	2764
93	285	2746
94	286	2730
95	288	2713
96	289	2695
97	290	2677
98	292	2660
99	293	2644
100	295	2629
101	296	2613
102	298	2597
103	299	2584
104	301	2572
105	303	2557
106	304	2543
107	306	2529
108	307	2513
109	308	2499
110	310	2484
111	311	2470
112	313	2460
113	314	2447
114	316	2434
115	317	2423
116	319	2408
117	320	2397
118	322	2385
119	323	2373
120	325	2362
121	326	2350
122	328	2338
123	329	2326
124	331	2317
125	332	2305
126	333	2292
127	334	2280
128	336	2272
129	338	2263
130	339	2255
131	341	2245
132	342	2235
133	344	2225
134	345	2216
135	347	2205
136	348	2196
137	350	2186
138	351	2177
139	352	2167
140	354	2158
141	355	2146
142	356	2138
143	358	2130
144	359	2121
145	361	2112
146	362	2104
147	364	2097
148	365	2089
149	367	2080
150	368	2072
151	370	2064
152	371	2056
153	372	2047
154	374	2040
155	375	2033
156	377	2026
157	378	2018
158	380	2011
159	381	2004
160	382	1995
161	384	1988
162	385	1981
163	387	1976
164	389	1969
165	391	1964
166	392	1957
167	394	1951
168	395	1945
169	397	1938
170	398	1932
171	400	1930
172	402	1925
173	404	1919
174	405	1911
175	406	1905
176	408	1898
177	409	1891
178	411	1885
179	412	1878
180	413	1873
181	415	1866
182	416	1860
183	417	1853
184	419	1849
185	421	1842
186	422	1836
187	424	1834
188	426	1828
189	427	1822
190	428	1816
191	430	1811
192	431	1805
193	433	1799
194	434	1793
195	435	1788
196	437	1782
197	439	1779
198	440	1774
199	442	1769
200	444	1766
201	446	1765
202	448	1759
203	449	1754
204	450	1748
205	452	1742
206	454	1739
207	457	1742
208	459	1740
209	461	1735
210	464	1735
211	465	1730
212	467	1726
213	471	1732
214	473	1728
215	474	1723
216	476	1719
217	477	1714
218	479	1709
219	480	1704
220	482	1700
221	484	1696
222	485	1692
223	487	1687
224	488	1682
225	489	1678
226	491	1673
227	492	1668
228	494	1664
229	495	1660
230	497	1655
231	498	1651
232	500	1647
233	502	1643
234	503	1638
235	504	1633
236	506	1629
237	507	1624
238	508	1619
239	510	1615
240	511	1610
241	512	1606
242	514	1602
243	515	1597
244	517	1593
245	518	1588
246	520	1586
247	522	1583
248	523	1579
249	525	1575
250	527	1573
251	529	1571
252	531	1567
253	532	1563
254	533	1559
255	535	1554
256	536	1550
257	537	1546
258	539	1542
259	540	1539
260	542	1535
261	543	1531
262	545	1528
263	546	1524
264	548	1520
265	549	1517
266	551	1513
267	553	1510
268	554	1506
269	556	1503
270	557	1500
271	559	1496
272	560	1492
273	561	1488
274	563	1485
275	565	1482
276	566	1478
277	568	1475
278	569	1471
279	570	1468
280	572	1466
281	574	1462
282	575	1458
283	577	1454
284	578	1451
285	580	1448
286	581	1445
287	583	1441
288	584	1437
289	585	1434
290	587	1430
291	588	1427
292	590	1424
293	591	1420
294	592	1417
295	594	1414
296	596	1411
297	597	1407
298	599	1404
299	600	1401
300	601	1397
301	603	1394
302	604	1391
303	606	1388
304	607	1384
305	609	1382
306	610	1378
307	612	1375
308	613	1373
309	615	1369
310	616	1366
311	618	1363
312	619	1360
313	621	1357
314	623	1354
315	624	1351
316	626	1349
317	627	1346
318	628	1342
319	630	1339
320	632	1336
321	633	1334
322	635	1331
323	637	1330
324	640	1329
325	641	1326
326	643	1324
327	645	1322
328	647	1320
329	648	1316
330	650	1314
331	652	1312
332	653	1309
333	654	1305
334	656	1302
335	657	1299
336	659	1296
337	660	1293
338	661	1290
339	663	1287
340	664	1284
341	666	1283
342	668	1280
343	671	1279
344	672	1277
345	674	1274
346	677	1275
347	682	1278
348	684	1276
349	685	1273
350	688	1273
351	691	1272
352	695	1274
353	696	1271
354	699	1270
355	705	1276
356	708	1275
357	710	1273
358	711	1270
359	716	1273
360	717	1270
361	720	1269
362	721	1266
363	723	1263
364	725	1261
365	726	1258
366	728	1255
367	729	1253
368	731	1250
369	733	1248
370	734	1245
371	736	1242
372	737	1239
373	739	1237
374	741	1235
375	742	1232
376	744	1229
377	745	1227
378	747	1224
379	749	1222
380	750	1219
381	752	1217
382	753	1214
383	755	1211
384	756	1208
385	758	1206
386	759	1203
387	761	1201
388	763	1198
389	764	1196
390	766	1193
391	767	1190
392	769	1188
393	770	1185
394	772	1182
395	773	1179
396	775	1177
397	776	1174
398	778	1172
399	780	1170
400	781	1167
401	783	1165
402	785	1163
403	787	1161
404	788	1158
405	789	1155
406	791	1152
407	792	1150
408	794	1147
409	795	1145
410	797	1142
411	798	1139
412	800	1137
413	802	1135
414	803	1132
415	805	1130
416	806	1127
417	808	1125
418	809	1122
419	811	1120
420	812	1117
421	814	1115
422	815	1112
423	816	1109
424	818	1107
425	819	1104
426	820	1101
427	822	1098
428	823	1096
429	825	1093
430	826	1091
431	827	1088
432	829	1086
433	831	1083
434	832	1081
435	834	1078
436	835	1076
437	837	1074
438	838	1071
439	839	1068
440	841	1066
441	843	1064
442	844	1061
443	846	1059
444	847	1056
445	848	1054
446	850	1052
447	852	1050
448	853	1047
449	855	1045
450	856	1042
451	858	1040
452	859	1037
453	860	1035
454	862	1033
455	864	1031
456	865	1028
457	866	1025
458	868	1023
459	869	1021
460	871	1018
461	872	1016
462	874	1013
463	875	1011
464	877	1009
465	878	1006
466	880	1004
467	881	1002
468	883	1000
469	884	997
470	887	996
471	888	994
472	890	991
473	891	989
474	892	986
475	894	984
476	895	982
477	897	979
478	898	977
479	900	975
480	901	973
481	903	970
482	905	968
483	906	966
484	908	964
485	909	961
486	910	959
487	912	957
488	914	955
489	915	953
490	917	951
491	918	948
492	920	946
493	921	944
494	923	942
495	924	939
496	926	937
497	927	935
498	929	933
499	931	931
500	932	928
501	934	926
502	935	924
503	936	921
504	938	919
505	939	917
506	941	915
507	942	913
508	944	911
509	945	908
510	947	906
511	948	904
512	950	902
513	952	900
514	953	898
515	955	895
516	957	894
517	958	892
518	960	889
519	961	887
520	962	885
521	964	883
522	965	880
523	967	878
524	969	877
525	971	875
526	972	872
527	973	870
528	975	868
529	976	866
530	978	864
531	980	862
532	982	860
533	983	858
534	985	856
535	987	854
536	988	852
537	990	850
538	991	848
539	993	846
540	994	844
541	996	842
542	998	840
543	999	837
544	1001	836
545	1003	834
546	1004	832
547	1006	830
548	1007	828
549	1009	825
550	1010	823
551	1012	821
552	1013	819
553	1015	817
554	1016	815
555	1018	813
556	1020	811
557	1021	809
558	1023	807
559	1024	805
560	1026	803
561	1028	801
562	1029	799
563	1030	796
564	1032	795
565	1034	793
566	1035	790
567	1037	789
568	1038	786
569	1040	785
570	1042	783
571	1044	781
572	1045	779
573	1047	777
574	1049	775
575	1051	773
576	1052	771
577	1054	769
578	1055	767
579	1057	765
580	1058	763
581	1060	761
582	1061	759
583	1063	757
584	1064	755
585	1066	753
586	1068	751
587	1069	749
588	1071	747
589	1072	745
590	1074	743
591	1076	741
592	1077	739
593	1079	737
594	1081	735
595	1083	734
596	1084	732
597	1086	730
598	1087	728
599	1089	726
600	1091	724
601	1092	722
602	1094	720
603	1096	718
604	1097	716
605	1099	714
606	1100	712
607	1102	710
608	1103	708
609	1104	706
610	1106	704
611	1108	702
612	1109	700
613	1111	698
614	1112	696
615	1114	694
616	1116	692
617	1117	690
618	1118	688
619	1120	686
620	1121	684
621	1123	682
622	1124	680
623	1126	678
624	1127	676
625	1129	674
626	1130	672
627	1132	670
628	1133	668
629	1134	666
630	1135	664
631	1137	662
632	1138	660
633	1140	658
634	1141	656
635	1142	654
636	1144	652
637	1145	650
638	1147	648
639	1149	646
640	1150	644
641	1152	642
642	1153	640
643	1155	638
644	1157	636
645	1158	635
646	1160	633
647	1161	631
648	1163	629
649	1164	627
650	1166	625
651	1167	623
652	1169	621
653	1170	619
654	1172	617
655	1173	615
656	1174	613
657	1176	611
658	1177	609
659	1178	607
660	1180	605
661	1181	603
662	1183	601
663	1184	599
664	1185	597
665	1187	595
666	1188	593
667	1190	591
668	1191	589
669	1193	587
670	1194	585
671	1196	583
672	1197	582
673	1199	580
674	1201	578
675	1202	576
676	1204	574
677	1206	572
678	1207	571
679	1209	569
680	1210	567
681	1212	565
682	1213	563
683	1215	561
684	1216	559
685	1218	557
686	1219	555
687	1221	553
688	1222	551
689	1224	549
690	1225	548
691	1227	546
692	1228	544
693	1230	542
694	1231	540
695	1233	538
696	1234	536
697	1236	534
698	1238	533
699	1239	531
700	1241	529
701	1242	527
702	1244	525
703	1245	523
704	1247	521
705	1248	519
706	1249	518
707	1251	516
708	1253	514
709	1254	512
710	1255	510
711	1257	508
712	1259	506
713	1260	505
714	1262	503
715	1264	501
716	1265	499
717	1266	497
718	1268	495
719	1269	493
720	1271	491
721	1272	489
722	1273	488
723	1275	486
724	1277	484
725	1279	482
726	1280	480
727	1281	478
728	1283	477
729	1284	475
730	1286	473
731	1287	471
732	1289	469
733	1290	467
734	1292	465
735	1293	464
736	1295	462
737	1296	460
738	1298	458
739	1299	456
740	1301	454
741	1302	452
742	1304	451
743	1305	449
744	1306	447
745	1308	445
746	1309	443
747	1311	441
748	1312	439
749	1314	438
750	1316	436
751	1317	434
752	1319	432
753	1320	430
754	1322	428
755	1323	427
756	1325	425
757	1326	423
758	1328	421
759	1329	419
760	1330	417
761	1332	416
762	1333	414
763	1334	412
764	1335	410
765	1337	408
766	1338	406
767	1340	404
768	1341	402
769	1342	401
770	1344	399
771	1345	397
772	1347	395
773	1348	393
774	1349	391
775	1351	390
776	1352	388
777	1354	386
778	1355	384
779	1356	382
780	1358	380
781	1359	379
782	1361	377
783	1362	375
784	1363	373
785	1365	371
786	1367	369
787	1368	368
788	1369	366
789	1371	364
790	1372	362
791	1373	360
792	1375	359
793	1377	357
794	1378	355
795	1379	353
796	1381	351
797	1382	349
798	1383	348
799	1385	346
800	1386	344
801	1388	342
802	1389	340
803	1390	339
804	1392	337
805	1393	335
806	1395	333
807	1396	331
808	1398	330
809	1399	328
810	1401	326
811	1403	324
812	1404	323
813	1405	321
814	1407	319
815	1408	317
816	1410	315
817	1411	314
818	1413	312
819	1415	310
820	1416	308
821	1418	307
822	1419	305
823	1421	303
824	1423	301
825	1424	300
826	1426	298
827	1428	296
828	1429	294
829	1430	293
830	1432	291
831	1434	289
832	1435	287
833	1436	285
834	1438	284
835	1439	282
836	1441	280
837	1442	278
838	1443	277
839	1445	275
840	1446	273
841	1448	271
842	1450	270
843	1452	268
844	1453	266
845	1455	264
846	1456	263
847	1458	261
848	1459	259
849	1460	257
850	1462	256
851	1464	254
852	1465	252
853	1467	250
854	1468	249
855	1469	247
856	1471	245
857	1472	243
858	1474	241
859	1475	240
860	1477	238
861	1478	236
862	1480	235
863	1482	233
864	1483	231
865	1485	229
866	1486	228
867	1488	226
868	1489	224
869	1491	222
870	1492	221
871	1494	219
872	1495	217
873	1497	215
874	1498	214
875	1499	212
876	1501	210
877	1503	208
878	1504	207
879	1506	205
880	1507	203
881	1509	201
882	1511	200
883	1512	198
884	1514	196
885	1515	195
886	1517	193
887	1518	191
888	1520	189
889	1521	188
890	1523	186
891	1524	184
892	1525	182
893	1526	181
894	1528	179
895	1529	177
896	1530	175
897	1532	174
898	1533	172
899	1535	170
900	1536	168
901	1537	167
